FE_H_pred,FE_H_err,LOGG_actual,FE_H_actual
0.1029608054013007,0.0231570414998541,1.6217332,0.033708
-0.04747869975251508,0.05344766938171538,4.246327,-0.067566
0.1441891282924359,0.01705492329648171,2.4476106,0.095019
-0.09983838744399617,0.034707907521333535,4.5991497,-0.04181
-0.041404124969422085,0.017360276920838153,2.3394804,-0.071966
0.3885261064230108,0.056014046162204095,3.8553185,0.20145
-0.28044419567740025,0.011238141441791178,2.2751887,-0.24232
-0.44839754449444275,0.019529994200636423,2.4879756,-0.40062
-0.015809145612492886,0.02382584519075102,4.337888,-0.10388
0.1726706623757292,0.08256184912556874,0.4910493,0.22134
-0.32840771589216144,0.01974163169870863,1.4959595,-0.31724
-0.1147713671405324,0.02270969183124942,4.5888205,-0.063954
-0.2670954351715088,0.01600767397418965,2.63882,-0.21411
0.12010752047708151,0.015381625463138123,2.4106712,0.13481
0.06707481222756145,0.035876840217445125,4.59469,0.082178
0.1422141446529328,0.04134420753749897,4.489462,-0.03369
0.1552036366404878,0.039030585920530055,4.016565,0.18726
0.10051397787456012,0.0208827052446406,1.721338,0.11821
0.09917100201419154,0.030657257723091875,3.9367316,-0.079348
-0.6856043953583919,0.09876092926798637,0.07733123,-0.86746
-0.2657638213064651,0.028735550025872327,4.6045485,-0.17415
-0.45460237552084964,0.017478244314272605,1.2624683,-0.48992
-0.04808980728252521,0.01426574502270282,2.7402813,-0.098023
-0.14546650281921425,0.023861904756169845,4.5359616,-0.19794
-0.33926305355966346,0.026414526415717007,2.424221,-0.47431
-0.5578050144306901,0.027834812220537214,1.414185,-0.53872
0.027209534915741046,0.19328910001236174,3.7940078,-0.21879
-0.13591612820236398,0.0504851297062098,4.392607,-0.22308
-0.6021066243436232,0.028692475905314156,2.3772242,-0.6136
-0.2769872636484266,0.15205721525984361,4.002822,-0.13608
0.07976512498328353,0.04915030074753798,3.8199673,-0.051927
-0.20567414522442146,0.012348381554856269,2.3588583,-0.24777
-0.8934355479372627,0.05082021438445944,1.7485166,-1.0158
-0.22438601154541485,0.018691567564085704,1.1922553,-0.22674
-0.06668030917041183,0.016729357607156298,3.1864245,-0.0099936
-0.5043540785823459,0.02655721492520405,2.0422797,-0.49462
0.09347198955282854,0.07339110064885922,4.185048,0.043047
-0.4755907464657951,0.019589173756918873,2.3825383,-0.47938
0.011123826423735522,0.02589379469667376,3.196521,-0.033908
-0.2800659020244656,0.027877000156833046,3.0864568,-0.3646
0.20011703049460705,0.027426067221428468,1.5602937,0.21948
