time,loss,mse_loss,val_loss,val_mse_loss,lr
1.1495375633239746,-1.037,0.053,-0.274,0.411,9.9606e-05
1.1493782997131348,-1.193,0.062,-0.278,0.409,9.9565e-05
1.1506984233856201,-1.205,0.041,-0.221,0.433,9.9523e-05
1.1491427421569824,-1.213,0.038,-0.172,0.446,9.9479e-05
1.148763656616211,-1.208,0.049,-0.174,0.438,9.9433e-05
1.1516568660736084,-1.273,0.044,-0.183,0.427,9.9384e-05
1.1492431163787842,-1.183,0.055,-0.165,0.426,9.9334e-05
1.1496455669403076,-1.099,0.078,-0.136,0.425,9.9282e-05
1.1595728397369385,-1.253,0.058,-0.093,0.432,9.9228e-05
1.3678195476531982,-1.424,0.029,-0.032,0.450,9.9172e-05
1.1488490104675293,-1.226,0.061,0.029,0.466,9.9114e-05
1.1487164497375488,-1.271,0.041,0.044,0.469,9.9055e-05
1.1506588459014893,-1.420,0.038,0.027,0.463,9.8993e-05
1.1509459018707275,-1.170,0.068,0.018,0.469,9.8929e-05
1.1491432189941406,-1.263,0.054,0.059,0.493,9.8863e-05
1.151132583618164,-1.329,0.050,0.085,0.506,9.8796e-05
1.1493561267852783,-1.330,0.048,0.073,0.489,9.8726e-05
1.1489062309265137,-1.316,0.064,-0.018,0.436,9.8655e-05
1.1494746208190918,-1.340,0.049,-0.042,0.405,9.8582e-05
1.1495745182037354,-1.295,0.044,0.030,0.410,9.8506e-05
1.150083303451538,-1.401,0.033,0.076,0.415,9.8429e-05
1.1503210067749023,-1.262,0.077,0.061,0.413,9.8350e-05
1.1509459018707275,-1.408,0.030,-0.018,0.398,9.8269e-05
1.1510257720947266,-1.362,0.042,-0.049,0.396,9.8186e-05
1.14931321144104,-1.380,0.029,-0.015,0.414,9.8101e-05
1.149406909942627,-1.434,0.044,0.023,0.432,9.8015e-05
1.1522774696350098,-1.313,0.042,-0.005,0.428,9.7926e-05
1.1502280235290527,-1.403,0.027,-0.020,0.422,9.7836e-05
1.1493618488311768,-1.446,0.022,0.014,0.430,9.7743e-05
1.363767147064209,-1.436,0.034,-0.010,0.421,9.7649e-05
1.1490507125854492,-1.478,0.044,-0.048,0.405,9.7553e-05
1.149632453918457,-1.374,0.059,-0.050,0.405,9.7455e-05
1.1487367153167725,-1.422,0.044,-0.045,0.406,9.7355e-05
1.153135061264038,-1.397,0.028,-0.036,0.405,9.7253e-05
1.1517219543457031,-1.422,0.048,-0.059,0.396,9.7150e-05
1.1494596004486084,-1.440,0.035,-0.063,0.392,9.7044e-05
1.1509075164794922,-1.385,0.040,-0.074,0.391,9.6937e-05
1.1500985622406006,-1.399,0.033,-0.006,0.411,9.6827e-05
1.1498019695281982,-1.483,0.024,0.084,0.436,9.6716e-05
1.1498093605041504,-1.396,0.046,0.128,0.453,9.6604e-05
1.150085687637329,-1.462,0.042,0.233,0.483,9.6489e-05
